"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.52449631013,-2.42265559457108,0.060011253178271,-40.37002172533,0,0,"1266","1266","1266"
"ENSG00000183508",2053.90418828352,3.20201707573755,0.0724335049611765,44.2062975891308,0,0,"54855","54855","54855"
"ENSG00000159176",5692.33590298369,-2.31367426077978,0.0575629191382836,-40.1938312965267,0,0,"1465","1465","1465"
"ENSG00000150938",7442.8268576805,-2.05956729778774,0.0538523374857312,-38.2447149732997,0,0,"51232","51232","51232"
"ENSG00000116016",4423.85719104464,-1.88795492473538,0.0431796520569331,-43.7232546998314,0,0,"2034","2034","2034"
"ENSG00000136068",3796.05400460932,-1.64972729605199,0.0439450536722068,-37.54068224282,0,0,"2317","2317","2317"
"ENSG00000164251",2348.79672326429,3.34457324545858,0.0690838654950349,48.4132325470258,0,0,"2150","2150","2150"
"ENSG00000124766",2576.67354749235,2.3923529521569,0.0617213702528325,38.7605288469291,0,0,"6659","6659","6659"
"ENSG00000124762",28106.2707747349,1.83232329229379,0.0389083974015665,47.0932604440814,0,0,"1026","1026","1026"
"ENSG00000106366",43718.2343050003,-1.84398160854646,0.0419222461781527,-43.9857540244929,0,0,"5054","5054","5054"
"ENSG00000188153",2944.14828781268,2.26614550723464,0.0552806139508627,40.9934938358129,0,0,"1287","1287","1287"
"ENSG00000122861",28007.35989012,2.2625908254909,0.0552311932089158,40.9658146788988,0,0,"5328","5328","5328"
"ENSG00000148773",1840.15218991922,-3.1959944849244,0.0758017987881447,-42.1625150856479,0,0,"4288","4288","4288"
"ENSG00000059804",3443.41922599331,2.07982854381125,0.0543364494559558,38.2768577011482,0,0,"6515","6515","6515"
"ENSG00000123416",4419.9837552199,-1.93835371512884,0.0505885262302287,-38.3160740106833,0,0,"10376","10376","10376"
"ENSG00000139289",12942.9914247293,2.0374261828323,0.0463086657277517,43.9966505364311,0,0,"22822","22822","22822"
"ENSG00000125257",6050.82214107652,1.95061452194856,0.043605597571773,44.7331221350179,0,0,"10257","10257","10257"
"ENSG00000211448",1884.77188757977,2.52378503386645,0.0654064642882645,38.58617128031,0,0,"1734","1734","1734"
"ENSG00000128917",1307.35857730712,3.85831801384556,0.0865292602485615,44.5897492104089,0,0,"54567","54567","54567"
"ENSG00000138623",2851.55297343898,-2.40662237199026,0.0581453096154862,-41.3897937409778,0,0,"8482","8482","8482"
